GJ510;NLTT34063
Ross486A;NLTT34200
LTT5282;Ross488
GJ521.1;NLTT34824
LHS2794;NLTT35132
LHS2813;LHS2813
GJ1181;NLTT35637
LHS2836;NLTT35884
GJ536;NLTT35989
2MASSJ14040823-6614378;L106-15
CD-3011219;NLTT36465
GJ2106;NLTT36550
GJ545;Ross848
GJ553;NLTT37551
GJ552.1;L260-93
GJ553.1;NLTT37557
GJ555;NLTT37751
GJ563.2A;NLTT38457
LP859-11;NLTT39368
G151-37;G152-1
LHS3056;NLTT39860
GJ581;NLTT39886
GJ588;NLTT40449
GJ590;NLTT40644
GJ592;NLTT40676
GJ595;NLTT40918
LHS3117;NLTT41185
GJ606;NLTT41689
LP804-27;NLTT42226
LHS3169;NLTT42285
CD-3710765;CD-3710765
GJ620;NLTT42632
GJ622;NLTT42715
GJ628;NLTT42927
LHS423;NLTT43115
GJ633;NLTT43296
GJ634;CD-4311010
GJ637;NLTT43472
LP806-8;NLTT43584
GJ644;NLTT43800
LTT6745;NLTT43786
GJ645;NLTT43819
GJ1207;GJ1207
L268-67;NLTT44262
GJ660;NLTT44323
GJ660.1;NLTT44349
GJ1212;NLTT44374
LP687-17;NLTT44470
L845-16;L845-16
L989-38;NLTT44718
GJ1218;NLTT44773
GJ674;NLTT44819
LHS3295;NLTT44686
GJ676A;NLTT44859
GJ680;NLTT45045
GJ682;NLTT45107
L204-148;NLTT45130
GJ690.1;NLTT45287
GJ2130A;NLTT45390
LTT7077;Wolf1473
GJ693;NLTT45375
L415-82;L415-82
GJ701;NLTT45883
L43-72;L43-72
LTT7246;NLTT46151
GJ714;NLTT46533
GJ2138;NLTT46769
GJ724;NLTT46840
LHS5341;LHS5341
LTT7419;CD-3313497
LTT7434;GJ4074
LTT7452;NLTT47011
L345-091;L345-91
GJ729;NLTT47045
LHS3413;NLTT47017
2MASSJ18522528-3730363;L489-43
LHS469;L489-58
HD175224;HD175224
GJ739;NLTT47234
GJ750;NLTT47589
GJ754;LHS60
LHS475;LHS475
L275-26;L275-26
LP925-37;NLTT48147
V*V375Pav;V*V375Pav
GJ781.1A;NLTT48740
GJ784;NLTT48880
L209-71;NLTT48907
GJ788.1;NLTT49106
GJ791;NLTT49278
GJ1252;LHS492
L755-19;L755-19
LP567-63;NLTT49465
BD-195899;NLTT49732
GJ803;NLTT49807
LHS3583;L23-30
GJ808;LHS499
LP816-60;NLTT50038
LP756-19;LP756-19
GJ811.1;NLTT50187
GJ816;NLTT50360
GJ2151;NLTT50370
GJ817;NLTT50469
GJ821;NLTT50633
LHS3639;NLTT50713
GJ825;NLTT50917
GJ828.2;NLTT51282
L714-46;NLTT51308
GJ831;NLTT51428
GJ832;NLTT51502
LHS512;LHS512
GJ1263;Wolf940
GJ1264;CD-721700
L427-34;NLTT52139
LHS3719;LHS3719
GJ842;NLTT52576
GJ843;NLTT52711
LHS3746;LHS3746
LHS3748;NLTT52762
GJ849;NLTT53078
LP875-68;NLTT53279
GJ855;NLTT53677
LHS3804;NLTT53760
LP876-34;NLTT54180
GJ864;NLTT54286
L645-74;NLTT54397
GJ865;GJ865
GJ866;NLTT54407
GJ867;NLTT54421
GJ874;LHS3855
LP932-81;NLTT54894
LHS5394;NLTT55105
GJ876;NLTT55130
GJ877;NLTT55234
GJ887;NLTT55782
LTT9388;NLTT55998
LHS3909;NLTT56121
LDS5060;**LDS5060
GJ1284;NLTT57060
LTT9582;LTT9582
LTT9596;LTT9596
LTT9634;NLTT57466
LTT9635;NLTT57469
L26-27;NLTT58294
GJ912;NLTT58425
LP764-40;NLTT58589
LTT9828;NLTT58669
LHS4058;NLTT58672
LP381-4;-
LP453-31;-
LP382-56;-
LP465-84;-
