GJ238;HIP31300
LP780-32;LP780-32
CD-551514;HIP31862
LP780-23;LP780-23
NLTT16977;NLTT16977
L597-18;L597-18
GJ257;HIP33499
GJ263;HIP34104
LHS225;L455-111
GJ2055;HIP34361
LP840-16;LP840-16
L136-37;L136-37
GJ1097;HIP36338
GJ2060;HIP36349
LHS1932;L240-16
L528-16;L528-16
LHS1935;HIP37217
L34-26;L34-26
LHS1955;L601-78
GJ298;HIP39987
GJ300;GJ300
LHS1991;HIP40239
LHS1992;LHS1992
LP843-16;LP843-16
L98-59;L98-59
LHS2010;LHS2010
LTT3201;G114-10
GJ317;GJ317
GJ326;HIP43708
GJ334;HIP44722
L749-34;L749-34
LHS2122;LHS2122
GJ341;HIP45908
Ross439;HIP46488
GJ352;HIP46706
GJ357;HIP47103
GJ358;HIP47425
LHS2177;HIP47619
GJ1128;L100-115
GJ367;HIP47780
GJ1129;L750-52
LTT3613;LP728-70
GJ369;HIP48336
LTT3616;LP788-49
GJ372;HIP48477
LP847-48;HIP48659
GJ375;HIP48904
GJ377;HIP49091
GJ381;HIP49969
GJ382;HIP49986
GJ386;HIP50341
LTT3790;L392-39A
LDS303;**LDS303
L142-86;L142-86
GJ390;HIP51007
LTT3877;G162-70
GJ399;HIP52186
GJ1135;HIP52296
LP905-56;HIP52596
LHS2335;GJ3634
HIP54373;HIP54373
GJ413.1;HIP54532
GJ422;HIP55042
GJ1144;HIP55066
GJ1145;HIP55119
LP792-17;LP792-17
LP672-42;HIP56157
GJ431;HIP56244
L324-51;L324-51
LHS2427;HIP56466
L66-86;L66-86
GJ433;HIP56528
GJ438;CD-515974
LP793-33;HIP57361
GJ443;HIP57459
LHS2460;LP733-24
GJ452;HIP57959
LHS5205;L829-24
L829-10;L829-10
LP734-30;LP734-30
LHS2520;LP734-32
L758-108;HIP59406
NLTT30359;L18-22
L38-47;L38-47
GJ465;HIP60559
LP735-48;Ross946
LP735-11;Ross948
L327-121;L327-121
GJ477;HIP61495
GJ479;HIP61629
LHS337;LHS337
GJ480.1;HIP61874
LHS2634;G14-1
LP853-34;LP853-34
GJ488;HIP62687
LHS5231;LHS5231
LTT4969;Ross972
LHS2668;HIP63550
LTT5031;G14-34
LHS346;LHS346
WT392;WT392
LHS2718;L473-1
LHS2729;GJ3780
GJ510;HIP65520
Ross486A;Ross486A
LTT5282;Ross488
GJ521.1;HIP66675
LHS2794;HIP67164
LHS2813;LHS2813
GJ1181;HIP67960
LHS2836;GJ3820
GJ536;HIP68469
2MASSJ14040823-6614378;L106-15
CD-3011219;HIP69285
GJ2106;HIP69454
GJ545;Ross848
GJ553;HIP70956
GJ552.1;L260-93
GJ553.1;HIP70975
GJ555;HIP71253
GJ563.2A;HIP72511
LP859-11;LP859-11
G151-37;G152-1
LHS3056;G152-8
GJ581;HIP74995
GJ588;HIP76074
GJ590;LHS3092
GJ592;Ross802
GJ595;HIP76901
LHS3117;HIP77349
GJ606;HIP78353
LP804-27;HIP79431
LHS3169;LHS3169
CD-3710765;HIP80018
GJ620;HIP80268
GJ622;HIP80440
GJ628;HIP80824
LHS423;LHS423
GJ633;LHS3233
GJ634;CD-4311010
GJ637;HIP82256
LP806-8;HIP82283
GJ644;HIP82817
LTT6745;HIP82834
GJ645;L484-31
GJ1207;GJ1207
L268-67;HIP84051
GJ660;HIP84123
GJ660.1;HIP84212
GJ1212;HIP84277
LP687-17;LP687-17
L845-16;L845-16
L989-38;L989-38
GJ1218;LHS3292
GJ674;HIP85523
LHS3295;LHS3295
GJ676A;HIP85647
GJ680;HIP86057
GJ682;HIP86214
L204-148;L204-148
GJ690.1;LHS3316
GJ2130A;HIP86961
LTT7077;Wolf1473
GJ693;HIP86990
L415-82;L415-82
GJ701;HIP88574
L43-72;L43-72
LTT7246;G154-52
GJ714;CPD-587400
GJ2138;HIP91430
GJ724;HIP91608
LHS5341;LHS5341
LTT7419;CD-3313497
LTT7434;GJ4074
LTT7452;G155-42
L345-091;L345-91
GJ729;HIP92403
LHS3413;LHS3413
2MASSJ18522528-3730363;L489-43
LHS469;L489-58
HD175224;HIP93069
GJ739;HIP93206
GJ750;HIP94739
GJ754;LHS60
LHS475;LHS475
L275-26;L275-26
LP925-37;LP925-37
V*V375Pav;HIP98811
GJ781.1A;HIP99150
GJ784;HIP99701
L209-71;L209-71
GJ788.1;HIP100490
GJ791;HIP100923
GJ1252;LHS492
L755-19;L755-19
LP567-63;LP567-63
BD-195899;HIP102235
GJ803;HIP102409
LHS3583;L23-30
GJ808;LHS499
LP816-60;HIP103039
LP756-19;LP756-19
GJ811.1;HIP103388
GJ816;HIP103800
